cd_ibge,nm_municipio,nm_uf,cd_uf,bl_capital,regiao_uf,lat_municipio,long_municipio,lat_long_municipio,lat_central_uf,long_central_uf,lat_long_central_uf
3500105,Adamantina,São Paulo,SP,False,Sudeste,-21.682,-51.0737,"-21.682,-51.0737",-23.55,-46.64,"-23.55,-46.64"
3500204,Adolfo,São Paulo,SP,False,Sudeste,-21.2325,-49.6451,"-21.2325,-49.6451",-23.55,-46.64,"-23.55,-46.64"
3500303,Aguai,São Paulo,SP,False,Sudeste,-22.0572,-46.9735,"-22.0572,-46.9735",-23.55,-46.64,"-23.55,-46.64"
3500402,Aguas Da Prata,São Paulo,SP,False,Sudeste,-21.9319,-46.7176,"-21.9319,-46.7176",-23.55,-46.64,"-23.55,-46.64"
3500501,Aguas De Lindoia,São Paulo,SP,False,Sudeste,-22.4733,-46.6314,"-22.4733,-46.6314",-23.55,-46.64,"-23.55,-46.64"
3500550,Aguas De Santa Barbara,São Paulo,SP,False,Sudeste,-22.8812,-49.2421,"-22.8812,-49.2421",-23.55,-46.64,"-23.55,-46.64"
3500600,Aguas De Sao Pedro,São Paulo,SP,False,Sudeste,-22.5977,-47.8734,"-22.5977,-47.8734",-23.55,-46.64,"-23.55,-46.64"
3500709,Agudos,São Paulo,SP,False,Sudeste,-22.4694,-48.9863,"-22.4694,-48.9863",-23.55,-46.64,"-23.55,-46.64"
3500758,Alambari,São Paulo,SP,False,Sudeste,-23.5503,-47.898,"-23.5503,-47.898",-23.55,-46.64,"-23.55,-46.64"
3500808,Alfredo Marcondes,São Paulo,SP,False,Sudeste,-21.9527,-51.414,"-21.9527,-51.414",-23.55,-46.64,"-23.55,-46.64"
3500907,Altair,São Paulo,SP,False,Sudeste,-20.5242,-49.0571,"-20.5242,-49.0571",-23.55,-46.64,"-23.55,-46.64"
3501004,Altinopolis,São Paulo,SP,False,Sudeste,-21.0214,-47.3712,"-21.0214,-47.3712",-23.55,-46.64,"-23.55,-46.64"
3501103,Alto Alegre,São Paulo,SP,False,Sudeste,-21.5811,-50.168,"-21.5811,-50.168",-23.55,-46.64,"-23.55,-46.64"
3501152,Aluminio,São Paulo,SP,False,Sudeste,-23.5306,-47.2546,"-23.5306,-47.2546",-23.55,-46.64,"-23.55,-46.64"
3501202,Alvares Florence,São Paulo,SP,False,Sudeste,-20.3203,-49.9141,"-20.3203,-49.9141",-23.55,-46.64,"-23.55,-46.64"
3501301,Alvares Machado,São Paulo,SP,False,Sudeste,-22.0764,-51.4722,"-22.0764,-51.4722",-23.55,-46.64,"-23.55,-46.64"
3501400,Alvaro De Carvalho,São Paulo,SP,False,Sudeste,-22.0841,-49.719,"-22.0841,-49.719",-23.55,-46.64,"-23.55,-46.64"
3501509,Alvinlandia,São Paulo,SP,False,Sudeste,-22.4435,-49.7623,"-22.4435,-49.7623",-23.55,-46.64,"-23.55,-46.64"
3501608,Americana,São Paulo,SP,False,Sudeste,-22.7374,-47.3331,"-22.7374,-47.3331",-23.55,-46.64,"-23.55,-46.64"
3501707,Americo Brasiliense,São Paulo,SP,False,Sudeste,-21.7288,-48.1147,"-21.7288,-48.1147",-23.55,-46.64,"-23.55,-46.64"
3501806,Americo De Campos,São Paulo,SP,False,Sudeste,-20.2985,-49.7359,"-20.2985,-49.7359",-23.55,-46.64,"-23.55,-46.64"
3501905,Amparo,São Paulo,SP,False,Sudeste,-22.7088,-46.772,"-22.7088,-46.772",-23.55,-46.64,"-23.55,-46.64"
3502002,Analandia,São Paulo,SP,False,Sudeste,-22.1289,-47.6619,"-22.1289,-47.6619",-23.55,-46.64,"-23.55,-46.64"
3502101,Andradina,São Paulo,SP,False,Sudeste,-20.8948,-51.3786,"-20.8948,-51.3786",-23.55,-46.64,"-23.55,-46.64"
3502200,Angatuba,São Paulo,SP,False,Sudeste,-23.4917,-48.4139,"-23.4917,-48.4139",-23.55,-46.64,"-23.55,-46.64"
3502309,Anhembi,São Paulo,SP,False,Sudeste,-22.793,-48.1336,"-22.793,-48.1336",-23.55,-46.64,"-23.55,-46.64"
3502408,Anhumas,São Paulo,SP,False,Sudeste,-22.2934,-51.3895,"-22.2934,-51.3895",-23.55,-46.64,"-23.55,-46.64"
3502507,Aparecida,São Paulo,SP,False,Sudeste,-22.8495,-45.2325,"-22.8495,-45.2325",-23.55,-46.64,"-23.55,-46.64"
3502606,Aparecida D'Oeste,São Paulo,SP,False,Sudeste,-20.4487,-50.8835,"-20.4487,-50.8835",-23.55,-46.64,"-23.55,-46.64"
3502705,Apiai,São Paulo,SP,False,Sudeste,-24.5108,-48.8443,"-24.5108,-48.8443",-23.55,-46.64,"-23.55,-46.64"
3502754,Aracariguama,São Paulo,SP,False,Sudeste,-23.4366,-47.0608,"-23.4366,-47.0608",-23.55,-46.64,"-23.55,-46.64"
3502804,Aracatuba,São Paulo,SP,False,Sudeste,-21.2076,-50.4401,"-21.2076,-50.4401",-23.55,-46.64,"-23.55,-46.64"
3502903,Aracoiaba Da Serra,São Paulo,SP,False,Sudeste,-23.5029,-47.6166,"-23.5029,-47.6166",-23.55,-46.64,"-23.55,-46.64"
3503000,Aramina,São Paulo,SP,False,Sudeste,-20.0882,-47.7873,"-20.0882,-47.7873",-23.55,-46.64,"-23.55,-46.64"
3503109,Arandu,São Paulo,SP,False,Sudeste,-23.1386,-49.0487,"-23.1386,-49.0487",-23.55,-46.64,"-23.55,-46.64"
3503158,Arapei,São Paulo,SP,False,Sudeste,-22.6717,-44.4441,"-22.6717,-44.4441",-23.55,-46.64,"-23.55,-46.64"
3503208,Araraquara,São Paulo,SP,False,Sudeste,-21.7845,-48.178,"-21.7845,-48.178",-23.55,-46.64,"-23.55,-46.64"
3503307,Araras,São Paulo,SP,False,Sudeste,-22.3572,-47.3842,"-22.3572,-47.3842",-23.55,-46.64,"-23.55,-46.64"
3503356,Arco-Iris,São Paulo,SP,False,Sudeste,-21.7728,-50.466,"-21.7728,-50.466",-23.55,-46.64,"-23.55,-46.64"
3503406,Arealva,São Paulo,SP,False,Sudeste,-22.031,-48.9135,"-22.031,-48.9135",-23.55,-46.64,"-23.55,-46.64"
3503505,Areias,São Paulo,SP,False,Sudeste,-22.5786,-44.6992,"-22.5786,-44.6992",-23.55,-46.64,"-23.55,-46.64"
3503604,Areiopolis,São Paulo,SP,False,Sudeste,-22.6672,-48.6681,"-22.6672,-48.6681",-23.55,-46.64,"-23.55,-46.64"
3503703,Ariranha,São Paulo,SP,False,Sudeste,-21.1872,-48.7904,"-21.1872,-48.7904",-23.55,-46.64,"-23.55,-46.64"
3503802,Artur Nogueira,São Paulo,SP,False,Sudeste,-22.5727,-47.1727,"-22.5727,-47.1727",-23.55,-46.64,"-23.55,-46.64"
3503901,Aruja,São Paulo,SP,False,Sudeste,-23.3965,-46.32,"-23.3965,-46.32",-23.55,-46.64,"-23.55,-46.64"
3503950,Aspasia,São Paulo,SP,False,Sudeste,-20.16,-50.728,"-20.16,-50.728",-23.55,-46.64,"-23.55,-46.64"
3504008,Assis,São Paulo,SP,False,Sudeste,-22.66,-50.4183,"-22.66,-50.4183",-23.55,-46.64,"-23.55,-46.64"
3504107,Atibaia,São Paulo,SP,False,Sudeste,-23.1171,-46.5563,"-23.1171,-46.5563",-23.55,-46.64,"-23.55,-46.64"
3504206,Auriflama,São Paulo,SP,False,Sudeste,-20.6836,-50.5572,"-20.6836,-50.5572",-23.55,-46.64,"-23.55,-46.64"
3504305,Avai,São Paulo,SP,False,Sudeste,-22.1514,-49.3356,"-22.1514,-49.3356",-23.55,-46.64,"-23.55,-46.64"
3504404,Avanhandava,São Paulo,SP,False,Sudeste,-21.4584,-49.9509,"-21.4584,-49.9509",-23.55,-46.64,"-23.55,-46.64"
3504503,Avare,São Paulo,SP,False,Sudeste,-23.1067,-48.9251,"-23.1067,-48.9251",-23.55,-46.64,"-23.55,-46.64"
3504602,Bady Bassitt,São Paulo,SP,False,Sudeste,-20.9197,-49.4385,"-20.9197,-49.4385",-23.55,-46.64,"-23.55,-46.64"
3504701,Balbinos,São Paulo,SP,False,Sudeste,-21.8963,-49.3619,"-21.8963,-49.3619",-23.55,-46.64,"-23.55,-46.64"
3504800,Balsamo,São Paulo,SP,False,Sudeste,-20.7348,-49.5865,"-20.7348,-49.5865",-23.55,-46.64,"-23.55,-46.64"
3504909,Bananal,São Paulo,SP,False,Sudeste,-22.6819,-44.3281,"-22.6819,-44.3281",-23.55,-46.64,"-23.55,-46.64"
3505005,Barao De Antonina,São Paulo,SP,False,Sudeste,-23.6284,-49.5634,"-23.6284,-49.5634",-23.55,-46.64,"-23.55,-46.64"
3505104,Barbosa,São Paulo,SP,False,Sudeste,-21.2657,-49.9518,"-21.2657,-49.9518",-23.55,-46.64,"-23.55,-46.64"
3505203,Bariri,São Paulo,SP,False,Sudeste,-22.073,-48.7438,"-22.073,-48.7438",-23.55,-46.64,"-23.55,-46.64"
3505302,Barra Bonita,São Paulo,SP,False,Sudeste,-22.4909,-48.5583,"-22.4909,-48.5583",-23.55,-46.64,"-23.55,-46.64"
3505351,Barra Do Chapeu,São Paulo,SP,False,Sudeste,-24.4722,-49.0238,"-24.4722,-49.0238",-23.55,-46.64,"-23.55,-46.64"
3505401,Barra Do Turvo,São Paulo,SP,False,Sudeste,-24.759,-48.5013,"-24.759,-48.5013",-23.55,-46.64,"-23.55,-46.64"
3505500,Barretos,São Paulo,SP,False,Sudeste,-20.5531,-48.5698,"-20.5531,-48.5698",-23.55,-46.64,"-23.55,-46.64"
3505609,Barrinha,São Paulo,SP,False,Sudeste,-21.1864,-48.1636,"-21.1864,-48.1636",-23.55,-46.64,"-23.55,-46.64"
3505708,Barueri,São Paulo,SP,False,Sudeste,-23.5057,-46.879,"-23.5057,-46.879",-23.55,-46.64,"-23.55,-46.64"
3505807,Bastos,São Paulo,SP,False,Sudeste,-21.921,-50.7357,"-21.921,-50.7357",-23.55,-46.64,"-23.55,-46.64"
3505906,Batatais,São Paulo,SP,False,Sudeste,-20.8929,-47.5921,"-20.8929,-47.5921",-23.55,-46.64,"-23.55,-46.64"
3506003,Bauru,São Paulo,SP,False,Sudeste,-22.3246,-49.0871,"-22.3246,-49.0871",-23.55,-46.64,"-23.55,-46.64"
3506102,Bebedouro,São Paulo,SP,False,Sudeste,-20.9491,-48.4791,"-20.9491,-48.4791",-23.55,-46.64,"-23.55,-46.64"
3506201,Bento De Abreu,São Paulo,SP,False,Sudeste,-21.2686,-50.814,"-21.2686,-50.814",-23.55,-46.64,"-23.55,-46.64"
3506300,Bernardino De Campos,São Paulo,SP,False,Sudeste,-23.0164,-49.4679,"-23.0164,-49.4679",-23.55,-46.64,"-23.55,-46.64"
3506359,Bertioga,São Paulo,SP,False,Sudeste,-23.8486,-46.1396,"-23.8486,-46.1396",-23.55,-46.64,"-23.55,-46.64"
3506409,Bilac,São Paulo,SP,False,Sudeste,-21.404,-50.4746,"-21.404,-50.4746",-23.55,-46.64,"-23.55,-46.64"
3506508,Birigui,São Paulo,SP,False,Sudeste,-21.291,-50.3432,"-21.291,-50.3432",-23.55,-46.64,"-23.55,-46.64"
3506607,Biritiba-Mirim,São Paulo,SP,False,Sudeste,-23.5698,-46.0407,"-23.5698,-46.0407",-23.55,-46.64,"-23.55,-46.64"
3506706,Boa Esperanca Do Sul,São Paulo,SP,False,Sudeste,-21.9918,-48.3906,"-21.9918,-48.3906",-23.55,-46.64,"-23.55,-46.64"
3506805,Bocaina,São Paulo,SP,False,Sudeste,-22.1365,-48.523,"-22.1365,-48.523",-23.55,-46.64,"-23.55,-46.64"
3506904,Bofete,São Paulo,SP,False,Sudeste,-23.1055,-48.2582,"-23.1055,-48.2582",-23.55,-46.64,"-23.55,-46.64"
3507001,Boituva,São Paulo,SP,False,Sudeste,-23.2855,-47.6786,"-23.2855,-47.6786",-23.55,-46.64,"-23.55,-46.64"
3507100,Bom Jesus Dos Perdoes,São Paulo,SP,False,Sudeste,-23.1356,-46.4675,"-23.1356,-46.4675",-23.55,-46.64,"-23.55,-46.64"
3507159,Bom Sucesso De Itarare,São Paulo,SP,False,Sudeste,-24.3155,-49.1451,"-24.3155,-49.1451",-23.55,-46.64,"-23.55,-46.64"
3507209,Bora,São Paulo,SP,False,Sudeste,-22.2696,-50.5409,"-22.2696,-50.5409",-23.55,-46.64,"-23.55,-46.64"
3507308,Boraceia,São Paulo,SP,False,Sudeste,-22.1926,-48.7808,"-22.1926,-48.7808",-23.55,-46.64,"-23.55,-46.64"
3507407,Borborema,São Paulo,SP,False,Sudeste,-21.6214,-49.0741,"-21.6214,-49.0741",-23.55,-46.64,"-23.55,-46.64"
3507456,Borebi,São Paulo,SP,False,Sudeste,-22.5728,-48.9707,"-22.5728,-48.9707",-23.55,-46.64,"-23.55,-46.64"
3507506,Botucatu,São Paulo,SP,False,Sudeste,-22.8837,-48.4437,"-22.8837,-48.4437",-23.55,-46.64,"-23.55,-46.64"
3507605,Braganca Paulista,São Paulo,SP,False,Sudeste,-22.9527,-46.5419,"-22.9527,-46.5419",-23.55,-46.64,"-23.55,-46.64"
3507704,Brauna,São Paulo,SP,False,Sudeste,-21.499,-50.3175,"-21.499,-50.3175",-23.55,-46.64,"-23.55,-46.64"
3507753,Brejo Alegre,São Paulo,SP,False,Sudeste,-21.1651,-50.1861,"-21.1651,-50.1861",-23.55,-46.64,"-23.55,-46.64"
3507803,Brodowski,São Paulo,SP,False,Sudeste,-20.9845,-47.6572,"-20.9845,-47.6572",-23.55,-46.64,"-23.55,-46.64"
3507902,Brotas,São Paulo,SP,False,Sudeste,-22.2795,-48.1251,"-22.2795,-48.1251",-23.55,-46.64,"-23.55,-46.64"
3508009,Buri,São Paulo,SP,False,Sudeste,-23.7977,-48.5958,"-23.7977,-48.5958",-23.55,-46.64,"-23.55,-46.64"
3508108,Buritama,São Paulo,SP,False,Sudeste,-21.0661,-50.1475,"-21.0661,-50.1475",-23.55,-46.64,"-23.55,-46.64"
3508207,Buritizal,São Paulo,SP,False,Sudeste,-20.1911,-47.7096,"-20.1911,-47.7096",-23.55,-46.64,"-23.55,-46.64"
3508306,Cabralia Paulista,São Paulo,SP,False,Sudeste,-22.4576,-49.3393,"-22.4576,-49.3393",-23.55,-46.64,"-23.55,-46.64"
3508405,Cabreuva,São Paulo,SP,False,Sudeste,-23.3053,-47.1362,"-23.3053,-47.1362",-23.55,-46.64,"-23.55,-46.64"
3508504,Cacapava,São Paulo,SP,False,Sudeste,-23.0992,-45.7076,"-23.0992,-45.7076",-23.55,-46.64,"-23.55,-46.64"
3508603,Cachoeira Paulista,São Paulo,SP,False,Sudeste,-22.6665,-45.0154,"-22.6665,-45.0154",-23.55,-46.64,"-23.55,-46.64"
3508702,Caconde,São Paulo,SP,False,Sudeste,-21.528,-46.6437,"-21.528,-46.6437",-23.55,-46.64,"-23.55,-46.64"
3508801,Cafelandia,São Paulo,SP,False,Sudeste,-21.8031,-49.6092,"-21.8031,-49.6092",-23.55,-46.64,"-23.55,-46.64"
3508900,Caiabu,São Paulo,SP,False,Sudeste,-22.0127,-51.2394,"-22.0127,-51.2394",-23.55,-46.64,"-23.55,-46.64"
3509007,Caieiras,São Paulo,SP,False,Sudeste,-23.3607,-46.7397,"-23.3607,-46.7397",-23.55,-46.64,"-23.55,-46.64"
3509106,Caiua,São Paulo,SP,False,Sudeste,-21.8322,-51.9969,"-21.8322,-51.9969",-23.55,-46.64,"-23.55,-46.64"
3509205,Cajamar,São Paulo,SP,False,Sudeste,-23.355,-46.8781,"-23.355,-46.8781",-23.55,-46.64,"-23.55,-46.64"
3509254,Cajati,São Paulo,SP,False,Sudeste,-24.7324,-48.1223,"-24.7324,-48.1223",-23.55,-46.64,"-23.55,-46.64"
3509304,Cajobi,São Paulo,SP,False,Sudeste,-20.8773,-48.8063,"-20.8773,-48.8063",-23.55,-46.64,"-23.55,-46.64"
3509403,Cajuru,São Paulo,SP,False,Sudeste,-21.2749,-47.303,"-21.2749,-47.303",-23.55,-46.64,"-23.55,-46.64"
3509452,Campina Do Monte Alegre,São Paulo,SP,False,Sudeste,-23.5895,-48.4758,"-23.5895,-48.4758",-23.55,-46.64,"-23.55,-46.64"
3509502,Campinas,São Paulo,SP,False,Sudeste,-22.9053,-47.0659,"-22.9053,-47.0659",-23.55,-46.64,"-23.55,-46.64"
3509601,Campo Limpo Paulista,São Paulo,SP,False,Sudeste,-23.2078,-46.7889,"-23.2078,-46.7889",-23.55,-46.64,"-23.55,-46.64"
